,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
1067,osawari-tantei-ozawa-rina-rising-3-nameko-wa-banan,0,5/1/2014,0,0,0,0,1,,0,2019-09-12T06:37:39,"exclusive, true exclusive",0,,0,1,0,0,0,0
1068,dai-gyakuten-saiban-naruhodo-ryunosuke-no-boken,0,7/9/2015,0,0,1,0,1,,0,2019-06-25T01:18:33,,1,,0,0,1,0,0,0
1069,disney-big-hero-6-battle-in-the-bay,0,4/17/2014,0,0,0,0,1,,0,2019-06-25T02:06:13,,0,,0,1,0,0,0,0
1070,etrian-odyssey-5,0,8/4/2016,0,0,0,0,1,,0,2019-09-12T06:37:36,"exclusive, true exclusive",0,,0,1,0,0,0,0
1071,exstetra,0,10/7/2013,0,0,1,0,1,,0,2019-06-25T03:54:09,,1,,0,1,0,0,0,0
1072,new-art-academy,0,7/28/2012,0,0,1,0,1,,0,2019-06-24T17:35:10,,1,,0,0,0,0,1,0
1073,new-love-plus,0,2/14/2012,0,0,0,0,1,,0,2019-06-24T18:46:29,,0,,0,1,0,0,0,0
1074,spongebob-heropants,0,2/3/2015,0,0,0,0,1,,0,2019-06-24T19:11:22,,0,,0,1,0,0,0,0
1075,sketchy-snowboarding,0,7/11/2019,0,0,0,0,1,,107,2019-11-19T18:25:59,"simple, fun",0,"Adventure, Sports",0,1,0,0,0,0
1076,teddy-together,0,,0,0,0,0,1,,0,2019-09-12T06:37:45,"exclusive, true exclusive",0,,0,1,0,0,0,0
1077,poyo-poyo-kansatsu-nikki,0,,0,0,0,0,1,,0,2019-09-12T06:37:42,"exclusive, true exclusive",0,,0,1,0,0,0,0
1078,naruto-powerful-shippuden,0,3/5/2013,0,0,0,0,1,71,236,2020-06-30T01:15:09,,0,"Platformer, Action",0,1,0,0,0,0
1079,super-dodge-ball,0,9/22/2008,0,0,0,0,1,,499,2020-12-16T15:01:56,"character, console",0,,0,1,0,0,0,0
1080,naruto-sd-powerful-shippuden,0,11/29/2012,0,0,0,0,1,,250,2019-06-24T18:45:06,,0,,0,0,0,1,0,0
1081,3d-shinobi-3,0,8/7/2013,0,0,0,0,1,,0,2019-06-24T20:09:33,,0,,0,1,0,0,0,0
1082,theatrhythm-dragon-quest,0,3/26/2015,0,0,0,0,1,,0,2019-09-12T06:37:45,"exclusive, true exclusive",0,,0,1,0,0,0,0
1083,blazblue-clone-phantasma,0,,0,0,0,0,1,,0,2019-09-12T06:37:34,"exclusive, true exclusive",0,,0,1,0,0,0,0
1084,alchemic-dungeons,0,7/2/2015,0,0,0,0,1,,284,2019-10-22T14:30:29,"RPG, role-playing",0,"Adventure, RPG",0,1,0,0,0,0
1085,miitopia-casting-call,0,7/13/2017,0,0,1,0,1,,98,2019-01-09T12:41:06,,1,,0,0,1,0,0,0
1086,qix,1,7/7/2011,0,0,0,0,1,,33,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1087,balloon-kid,0,11/3/2011,0,0,0,0,1,,111,2019-01-09T12:41:06,"NES, sky",0,,0,0,1,0,0,0
1088,crosswords-plus,0,10/1/2012,0,0,0,0,1,,168,2019-09-12T06:37:35,"puzzles, exclusive",0,,0,1,0,0,0,0
1089,101-dinopets-3d,0,1/10/2013,0,0,1,0,1,,145,2019-01-09T12:41:06,,1,,0,0,1,0,0,0
1090,my-vet-practice-3d-in-the-country,0,10/17/2013,0,0,0,0,1,,193,2019-01-09T12:41:06,"Building, cats",0,,0,1,0,0,0,0
1091,parking-star-3d,0,5/8/2014,0,0,0,0,1,,79,2019-01-09T12:41:06,"Exploration, car",0,,0,1,0,0,0,0
1092,mega-man-xtreme-2,0,5/29/2014,0,0,1,0,1,,134,2019-04-29T02:19:23,"Robots, NES",1,,0,0,1,0,0,0
1093,penguin-hop,0,8/17/2010,0,0,0,0,1,,21,2019-08-16T06:23:30,"Endless, ice",0,"Casual, Puzzle",0,1,0,0,0,0
1094,dont-crash-go,0,4/20/2017,0,0,0,0,1,,21,2019-01-09T12:41:06,"collect, fun",0,,0,1,0,0,0,0
1095,hit-ninja,0,12/22/2016,0,0,0,0,1,,150,2019-01-09T12:41:06,"japan, fun",0,,0,1,0,0,0,0
1096,shift-dx,0,1/12/2017,0,0,0,0,1,,41,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
1097,kutar-tube-rider,0,11/10/2016,0,0,0,0,1,,37,2019-01-09T12:41:06,"Dog, character",0,,0,1,0,0,0,0
